tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2015-329,Tokyo,Hard,32,A,20151005,14,105449,,,Steve Johnson,R,188.0,USA,25.7796030116,48.0,915.0,106071,,,Bernard Tomic,R,193.0,AUS,22.954140999300000,20.0,1575.0,6-3 2-1 RET,3,R32,,8.0,2.0,31.0,17.0,14.0,8.0,6.0,1.0,2.0,2.0,1.0,40.0,19.0,13.0,6.0,6.0,3.0,6.0
2015-329,Tokyo,Hard,32,A,20151005,15,105023,,,Sam Querrey,R,198.0,USA,27.994524298400000,50.0,900.0,105238,,,Alexandr Dolgopolov,R,180.0,UKR,26.907597535900000,35.0,1125.0,7-6(5) 6-4,3,R32,,6.0,0.0,65.0,37.0,27.0,19.0,11.0,1.0,2.0,3.0,3.0,74.0,50.0,34.0,11.0,11.0,1.0,3.0
2015-329,Tokyo,Hard,32,A,20151005,16,105453,2.0,,Kei Nishikori,R,178.0,JPN,25.765913757700000,6.0,4540.0,106432,,,Borna Coric,R,,CRO,18.8884325804,38.0,1076.0,2-6 6-1 6-2,3,R32,,6.0,4.0,83.0,40.0,29.0,22.0,12.0,8.0,10.0,3.0,3.0,85.0,57.0,34.0,11.0,11.0,8.0,12.0
2015-329,Tokyo,Hard,32,A,20151005,17,104527,1.0,,Stanislas Wawrinka,R,183.0,SUI,30.521560574900000,4.0,6005.0,105147,,WC,Tatsuma Ito,R,180.0,JPN,27.3812457221,127.0,444.0,6-3 2-6 6-4,3,R16,,7.0,1.0,92.0,48.0,35.0,23.0,14.0,5.0,8.0,5.0,0.0,82.0,51.0,37.0,14.0,13.0,4.0,7.0
2015-329,Tokyo,Hard,32,A,20151005,18,105572,,Q,Austin Krajicek,L,,USA,25.303216974700000,124.0,450.0,105311,,,Joao Sousa,R,,POR,26.5160848734,45.0,951.0,2-6 6-4 6-3,3,R16,,11.0,4.0,100.0,71.0,51.0,11.0,14.0,8.0,10.0,10.0,2.0,91.0,53.0,41.0,16.0,13.0,5.0,7.0
2015-329,Tokyo,Hard,32,A,20151005,19,104468,3.0,,Gilles Simon,R,183.0,FRA,30.7707049966,10.0,2530.0,106210,,,Jiri Vesely,L,,CZE,22.2368240931,40.0,1042.0,6-4 6-2,3,R16,,4.0,2.0,57.0,42.0,29.0,7.0,9.0,5.0,7.0,4.0,2.0,62.0,36.0,18.0,13.0,9.0,4.0,9.0
2015-329,Tokyo,Hard,32,A,20151005,20,104180,,,Gilles Muller,L,193.0,LUX,32.4079397673,43.0,1005.0,104871,,,Jeremy Chardy,R,188.0,FRA,28.643394935,27.0,1365.0,7-6(3) 7-6(5),3,R16,,17.0,5.0,85.0,51.0,45.0,17.0,12.0,7.0,7.0,5.0,6.0,85.0,46.0,39.0,22.0,12.0,2.0,2.0
2015-329,Tokyo,Hard,32,A,20151005,21,105332,,,Benoit Paire,R,196.0,FRA,26.409308692700000,32.0,1187.0,104571,,,Marcos Baghdatis,R,183.0,CYP,30.2997946612,49.0,907.0,6-3 2-6 7-5,3,R16,,5.0,9.0,83.0,41.0,34.0,18.0,15.0,3.0,7.0,4.0,3.0,96.0,55.0,36.0,19.0,14.0,4.0,8.0
2015-329,Tokyo,Hard,32,A,20151005,22,106401,,,Nick Kyrgios,R,,AUS,20.4407939767,34.0,1125.0,105138,,,Roberto Bautista Agut,R,,ESP,27.4743326489,22.0,1510.0,6-4 6-2,3,R16,,8.0,0.0,45.0,27.0,23.0,14.0,9.0,0.0,0.0,3.0,1.0,49.0,32.0,23.0,6.0,9.0,1.0,4.0
2015-329,Tokyo,Hard,32,A,20151005,23,105227,6.0,,Marin Cilic,R,198.0,CRO,27.017111567400000,14.0,2270.0,105449,,,Steve Johnson,R,188.0,USA,25.7796030116,48.0,915.0,6-3 6-3,3,R16,,5.0,2.0,56.0,33.0,25.0,17.0,9.0,5.0,5.0,3.0,2.0,63.0,42.0,27.0,7.0,9.0,6.0,9.0
2015-329,Tokyo,Hard,32,A,20151005,24,105453,2.0,,Kei Nishikori,R,178.0,JPN,25.765913757700000,6.0,4540.0,105023,,,Sam Querrey,R,198.0,USA,27.994524298400000,50.0,900.0,7-6(3) 6-3,3,R16,,7.0,1.0,52.0,36.0,33.0,10.0,10.0,0.0,0.0,10.0,2.0,71.0,40.0,28.0,16.0,11.0,1.0,3.0
2015-329,Tokyo,Hard,32,A,20151005,25,104527,1.0,,Stanislas Wawrinka,R,183.0,SUI,30.521560574900000,4.0,6005.0,105572,,Q,Austin Krajicek,L,,USA,25.303216974700000,124.0,450.0,6-3 6-4,3,QF,,9.0,1.0,61.0,32.0,26.0,18.0,10.0,2.0,2.0,4.0,2.0,47.0,30.0,24.0,8.0,9.0,2.0,4.0
2015-329,Tokyo,Hard,32,A,20151005,26,104180,,,Gilles Muller,L,193.0,LUX,32.4079397673,43.0,1005.0,104468,3.0,,Gilles Simon,R,183.0,FRA,30.7707049966,10.0,2530.0,6-3 6-4,3,QF,,8.0,5.0,79.0,38.0,32.0,17.0,10.0,7.0,8.0,2.0,2.0,62.0,40.0,26.0,9.0,9.0,1.0,4.0
2015-329,Tokyo,Hard,32,A,20151005,27,105332,,,Benoit Paire,R,196.0,FRA,26.409308692700000,32.0,1187.0,106401,,,Nick Kyrgios,R,,AUS,20.4407939767,34.0,1125.0,3-6 6-4 6-1,3,QF,,10.0,10.0,77.0,34.0,31.0,19.0,13.0,2.0,4.0,5.0,4.0,92.0,61.0,44.0,9.0,13.0,8.0,12.0
2015-329,Tokyo,Hard,32,A,20151005,28,105453,2.0,,Kei Nishikori,R,178.0,JPN,25.765913757700000,6.0,4540.0,105227,6.0,,Marin Cilic,R,198.0,CRO,27.017111567400000,14.0,2270.0,3-6 7-5 6-3,3,QF,,4.0,1.0,79.0,44.0,33.0,26.0,15.0,2.0,3.0,23.0,3.0,96.0,62.0,48.0,17.0,15.0,7.0,9.0
2015-329,Tokyo,Hard,32,A,20151005,29,104527,1.0,,Stanislas Wawrinka,R,183.0,SUI,30.521560574900000,4.0,6005.0,104180,,,Gilles Muller,L,193.0,LUX,32.4079397673,43.0,1005.0,6-4 7-6(5),3,SF,,8.0,0.0,64.0,34.0,26.0,21.0,11.0,1.0,3.0,6.0,6.0,79.0,49.0,32.0,17.0,11.0,3.0,6.0
2015-329,Tokyo,Hard,32,A,20151005,30,105332,,,Benoit Paire,R,196.0,FRA,26.409308692700000,32.0,1187.0,105453,2.0,,Kei Nishikori,R,178.0,JPN,25.765913757700000,6.0,4540.0,1-6 6-4 6-2,3,SF,,11.0,5.0,88.0,51.0,37.0,17.0,12.0,7.0,9.0,4.0,2.0,82.0,52.0,41.0,11.0,13.0,3.0,6.0
2015-329,Tokyo,Hard,32,A,20151005,31,104527,1.0,,Stanislas Wawrinka,R,183.0,SUI,30.521560574900000,4.0,6005.0,105332,,,Benoit Paire,R,196.0,FRA,26.409308692700000,32.0,1187.0,6-2 6-4,3,F,,4.0,1.0,58.0,31.0,20.0,19.0,9.0,3.0,4.0,6.0,1.0,52.0,22.0,19.0,11.0,9.0,0.0,4.0
2015-429,Stockholm,Hard,28,A,20151019,1,100644,,,Alexander Zverev,R,,GER,18.496919917900000,83.0,627.0,144707,,WC,Mikael Ymer,R,,SWE,17.1088295688,617.0,49.0,7-6(9) 6-7(5) 6-4,3,R32,,7.0,7.0,106.0,67.0,49.0,22.0,17.0,3.0,6.0,3.0,5.0,104.0,68.0,46.0,18.0,17.0,0.0,4.0
2015-429,Stockholm,Hard,28,A,20151019,2,104597,,LL,Nicolas Almagro,R,183.0,ESP,30.160164271,73.0,668.0,103813,,WC,Jarkko Nieminen,L,185.0,FIN,34.2395619439,145.0,391.0,3-6 7-6(6) 6-4,3,R32,,15.0,4.0,89.0,49.0,45.0,18.0,15.0,0.0,1.0,4.0,0.0,117.0,74.0,57.0,21.0,16.0,7.0,8.0
2015-429,Stockholm,Hard,28,A,20151019,3,105777,5.0,,Grigor Dimitrov,R,188.0,BUL,24.427104722800000,26.0,1405.0,105936,,Q,Filip Krajinovic,R,185.0,SRB,23.6413415469,94.0,571.0,7-5 6-3,3,R32,,14.0,1.0,64.0,41.0,35.0,10.0,11.0,4.0,6.0,0.0,3.0,61.0,36.0,22.0,11.0,10.0,4.0,8.0
2015-429,Stockholm,Hard,28,A,20151019,4,104571,,,Marcos Baghdatis,R,183.0,CYP,30.338124572200000,46.0,943.0,105023,,,Sam Querrey,R,198.0,USA,28.0328542094,51.0,835.0,7-6(2) 6-1,3,R32,,7.0,3.0,66.0,38.0,31.0,17.0,10.0,1.0,1.0,5.0,2.0,58.0,29.0,20.0,16.0,9.0,1.0,3.0
2015-429,Stockholm,Hard,28,A,20151019,5,105357,,,John Millman,R,183.0,AUS,26.3463381246,76.0,661.0,103794,,,Benjamin Becker,R,178.0,GER,34.340862423000000,87.0,615.0,7-6(2) 6-3,3,R32,,5.0,1.0,68.0,41.0,30.0,17.0,10.0,4.0,5.0,3.0,3.0,63.0,32.0,21.0,18.0,11.0,2.0,5.0
2015-429,Stockholm,Hard,28,A,20151019,6,104180,8.0,,Gilles Muller,L,193.0,LUX,32.4462696783,37.0,1105.0,104999,,Q,Mischa Zverev,L,190.0,GER,28.158795345700000,224.0,223.0,6-3 6-7(2) 6-1,3,R32,,16.0,1.0,99.0,65.0,50.0,17.0,15.0,8.0,10.0,3.0,2.0,86.0,57.0,37.0,15.0,13.0,4.0,9.0
2015-429,Stockholm,Hard,28,A,20151019,7,106058,7.0,,Jack Sock,R,185.0,USA,23.0663928816,32.0,1210.0,105807,,,Pablo Carreno Busta,R,,ESP,24.2710472279,60.0,789.0,6-3 6-7(1) 6-3,3,R32,,11.0,6.0,107.0,65.0,53.0,18.0,16.0,5.0,6.0,5.0,3.0,89.0,56.0,39.0,18.0,14.0,4.0,7.0
2015-429,Stockholm,Hard,28,A,20151019,8,104269,,,Fernando Verdasco,L,188.0,ESP,31.926078028700000,44.0,1005.0,106045,,,Denis Kudla,R,180.0,USA,23.170431211500000,68.0,746.0,6-4 6-4,3,R32,,1.0,1.0,46.0,35.0,29.0,9.0,10.0,0.0,1.0,5.0,3.0,66.0,45.0,29.0,8.0,10.0,0.0,3.0
2015-429,Stockholm,Hard,28,A,20151019,9,104919,,,Leonardo Mayer,R,188.0,ARG,28.429842573600000,36.0,1115.0,109739,,Q,Maximilian Marterer,L,,GER,20.3449691992,243.0,202.0,6-7(4) 6-2 6-2,3,R32,,5.0,5.0,88.0,52.0,43.0,20.0,14.0,4.0,4.0,7.0,5.0,82.0,45.0,33.0,20.0,14.0,1.0,5.0
2015-429,Stockholm,Hard,28,A,20151019,10,104871,6.0,,Jeremy Chardy,R,188.0,FRA,28.681724846000000,29.0,1390.0,106423,,,Thanasi Kokkinakis,R,,AUS,19.523613963,74.0,664.0,7-5 4-6 7-5,3,R32,,8.0,13.0,95.0,56.0,46.0,22.0,17.0,6.0,8.0,17.0,3.0,98.0,51.0,41.0,26.0,17.0,3.0,6.0
2015-429,Stockholm,Hard,28,A,20151019,11,105643,,,Federico Delbonis,L,190.0,ARG,25.037645448300000,55.0,811.0,105302,,Q,Ante Pavic,U,,CRO,26.6173853525,656.0,42.0,3-6 6-3 7-5,3,R32,,10.0,3.0,89.0,57.0,47.0,15.0,15.0,7.0,8.0,7.0,5.0,104.0,61.0,47.0,20.0,15.0,4.0,6.0
2015-429,Stockholm,Hard,28,A,20151019,12,104327,,,Steve Darcis,R,178.0,BEL,31.6002737851,81.0,636.0,105173,,,Adrian Mannarino,L,183.0,FRA,27.3045859001,42.0,1015.0,7-6(4) 6-4,3,R32,,2.0,2.0,64.0,29.0,21.0,25.0,11.0,1.0,2.0,7.0,1.0,81.0,52.0,35.0,12.0,11.0,13.0,15.0
2015-429,Stockholm,Hard,28,A,20151019,13,104607,1.0,WC,Tomas Berdych,R,196.0,CZE,30.0862422998,5.0,4840.0,100644,,,Alexander Zverev,R,,GER,18.496919917900000,83.0,627.0,6-3 6-4,3,R16,,7.0,1.0,60.0,33.0,25.0,13.0,10.0,2.0,4.0,3.0,2.0,57.0,29.0,20.0,11.0,9.0,4.0,8.0
2015-429,Stockholm,Hard,28,A,20151019,14,105777,5.0,,Grigor Dimitrov,R,188.0,BUL,24.427104722800000,26.0,1405.0,104597,,LL,Nicolas Almagro,R,183.0,ESP,30.160164271,73.0,668.0,6-2 6-4,3,R16,,11.0,0.0,43.0,28.0,26.0,10.0,9.0,0.0,0.0,2.0,6.0,56.0,23.0,17.0,18.0,9.0,1.0,4.0
2015-429,Stockholm,Hard,28,A,20151019,15,104571,,,Marcos Baghdatis,R,183.0,CYP,30.338124572200000,46.0,943.0,106071,4.0,,Bernard Tomic,R,193.0,AUS,22.992470910300000,18.0,1675.0,7-6(7) 6-3,3,R16,,15.0,5.0,74.0,45.0,34.0,14.0,11.0,4.0,6.0,6.0,4.0,70.0,48.0,28.0,12.0,10.0,0.0,3.0
2015-429,Stockholm,Hard,28,A,20151019,16,104180,8.0,,Gilles Muller,L,193.0,LUX,32.4462696783,37.0,1105.0,105357,,,John Millman,R,183.0,AUS,26.3463381246,76.0,661.0,7-5 6-3,3,R16,,14.0,2.0,62.0,39.0,34.0,12.0,11.0,2.0,3.0,0.0,0.0,55.0,35.0,26.0,10.0,10.0,1.0,4.0
2015-429,Stockholm,Hard,28,A,20151019,17,106058,7.0,,Jack Sock,R,185.0,USA,23.0663928816,32.0,1210.0,104269,,,Fernando Verdasco,L,188.0,ESP,31.926078028700000,44.0,1005.0,7-6(5) 6-7(5) 6-4,3,R16,,10.0,3.0,107.0,63.0,54.0,23.0,17.0,2.0,4.0,9.0,2.0,114.0,76.0,56.0,22.0,17.0,4.0,7.0
2015-429,Stockholm,Hard,28,A,20151019,18,104468,3.0,,Gilles Simon,R,183.0,FRA,30.8090349076,15.0,2065.0,104919,,,Leonardo Mayer,R,188.0,ARG,28.429842573600000,36.0,1115.0,6-2 6-4,3,R16,,2.0,3.0,60.0,39.0,27.0,12.0,9.0,2.0,3.0,4.0,1.0,54.0,36.0,24.0,5.0,9.0,2.0,6.0
2015-429,Stockholm,Hard,28,A,20151019,19,104871,6.0,,Jeremy Chardy,R,188.0,FRA,28.681724846000000,29.0,1390.0,105643,,,Federico Delbonis,L,190.0,ARG,25.037645448300000,55.0,811.0,6-3 7-6(2),3,R16,,4.0,4.0,61.0,40.0,34.0,12.0,11.0,1.0,2.0,2.0,2.0,77.0,44.0,31.0,14.0,10.0,4.0,6.0
2015-429,Stockholm,Hard,28,A,20151019,20,104755,2.0,,Richard Gasquet,R,185.0,FRA,29.3360711841,12.0,2490.0,104327,,,Steve Darcis,R,178.0,BEL,31.6002737851,81.0,636.0,6-1 2-0 RET,3,R16,,4.0,0.0,26.0,17.0,14.0,6.0,5.0,0.0,0.0,0.0,1.0,22.0,13.0,4.0,4.0,4.0,0.0,3.0
2015-429,Stockholm,Hard,28,A,20151019,21,104607,1.0,WC,Tomas Berdych,R,196.0,CZE,30.0862422998,5.0,4840.0,105777,5.0,,Grigor Dimitrov,R,188.0,BUL,24.427104722800000,26.0,1405.0,7-5 6-4,3,QF,,7.0,2.0,63.0,35.0,30.0,17.0,11.0,2.0,2.0,6.0,3.0,65.0,44.0,34.0,10.0,11.0,4.0,6.0
2015-429,Stockholm,Hard,28,A,20151019,22,104571,,,Marcos Baghdatis,R,183.0,CYP,30.338124572200000,46.0,943.0,104180,8.0,,Gilles Muller,L,193.0,LUX,32.4462696783,37.0,1105.0,7-6(5) 4-6 6-3,3,QF,,10.0,3.0,114.0,61.0,47.0,27.0,16.0,5.0,8.0,11.0,4.0,97.0,55.0,46.0,17.0,15.0,3.0,6.0
2015-429,Stockholm,Hard,28,A,20151019,23,106058,7.0,,Jack Sock,R,185.0,USA,23.0663928816,32.0,1210.0,104468,3.0,,Gilles Simon,R,183.0,FRA,30.8090349076,15.0,2065.0,7-5 7-6(5),3,QF,,8.0,5.0,111.0,71.0,44.0,20.0,12.0,13.0,16.0,4.0,1.0,76.0,45.0,30.0,17.0,12.0,2.0,6.0
2015-429,Stockholm,Hard,28,A,20151019,24,104755,2.0,,Richard Gasquet,R,185.0,FRA,29.3360711841,12.0,2490.0,104871,6.0,,Jeremy Chardy,R,188.0,FRA,28.681724846000000,29.0,1390.0,2-6 6-3 7-6(4),3,QF,,4.0,4.0,103.0,64.0,40.0,20.0,15.0,6.0,11.0,4.0,4.0,81.0,46.0,31.0,18.0,14.0,1.0,5.0
2015-429,Stockholm,Hard,28,A,20151019,25,104607,1.0,WC,Tomas Berdych,R,196.0,CZE,30.0862422998,5.0,4840.0,104571,,,Marcos Baghdatis,R,183.0,CYP,30.338124572200000,46.0,943.0,6-1 RET,3,SF,,5.0,1.0,21.0,11.0,10.0,6.0,4.0,0.0,0.0,1.0,4.0,20.0,10.0,5.0,4.0,3.0,3.0,5.0
2015-429,Stockholm,Hard,28,A,20151019,26,106058,7.0,,Jack Sock,R,185.0,USA,23.0663928816,32.0,1210.0,104755,2.0,,Richard Gasquet,R,185.0,FRA,29.3360711841,12.0,2490.0,6-4 6-2,3,SF,,11.0,1.0,59.0,32.0,23.0,17.0,9.0,4.0,5.0,3.0,1.0,64.0,38.0,21.0,12.0,9.0,4.0,8.0
2015-429,Stockholm,Hard,28,A,20151019,27,104607,1.0,WC,Tomas Berdych,R,196.0,CZE,30.0862422998,5.0,4840.0,106058,7.0,,Jack Sock,R,185.0,USA,23.0663928816,32.0,1210.0,7-6(1) 6-2,3,F,,9.0,1.0,54.0,31.0,28.0,13.0,10.0,0.0,1.0,8.0,4.0,66.0,43.0,29.0,10.0,10.0,1.0,4.0
2015-439,Umag,Clay,28,A,20150720,1,105542,,Q,Bastian Trinker,U,,AUT,25.1909650924,417.0,96.0,104022,,,Mikhail Youzhny,R,183.0,RUS,33.067761807,90.0,560.0,2-6 6-3 6-3,3,R32,,6.0,4.0,80.0,50.0,38.0,14.0,13.0,5.0,8.0,0.0,3.0,78.0,48.0,32.0,15.0,13.0,2.0,6.0
2015-439,Umag,Clay,28,A,20150720,2,103893,,,Paolo Lorenzi,R,183.0,ITA,33.5934291581,85.0,586.0,105401,,Q,Matteo Trevisan,U,,ITA,25.9329226557,451.0,84.0,1-6 6-2 7-5,3,R32,,4.0,3.0,78.0,46.0,30.0,15.0,13.0,5.0,9.0,1.0,4.0,87.0,55.0,35.0,14.0,14.0,2.0,7.0
2015-439,Umag,Clay,28,A,20150720,3,104259,6.0,,Philipp Kohlschreiber,R,178.0,GER,31.759069130700000,42.0,1025.0,105053,,,Santiago Giraldo,R,188.0,COL,27.6440793977,59.0,790.0,6-3 6-2,3,R32,,2.0,1.0,61.0,35.0,25.0,17.0,9.0,5.0,5.0,4.0,3.0,42.0,25.0,19.0,7.0,8.0,4.0,7.0
2015-439,Umag,Clay,28,A,20150720,4,105583,,,Dusan Lajovic,R,180.0,SRB,25.054072553,119.0,450.0,111513,,Q,Laslo Djere,R,,SRB,20.1314168378,175.0,277.0,6-3 6-3,3,R32,,0.0,0.0,57.0,30.0,22.0,17.0,9.0,3.0,4.0,2.0,8.0,76.0,50.0,35.0,6.0,9.0,6.0,10.0
2015-439,Umag,Clay,28,A,20150720,5,104890,,,Andreas Haider Maurer,R,190.0,AUT,28.328542094500000,61.0,785.0,105341,,Q,Thomas Fabbiano,U,,ITA,26.1492128679,209.0,226.0,6-3 6-4,3,R32,,4.0,4.0,77.0,45.0,34.0,15.0,10.0,8.0,9.0,0.0,3.0,55.0,40.0,24.0,6.0,9.0,3.0,6.0
2015-439,Umag,Clay,28,A,20150720,6,105373,8.0,,Martin Klizan,L,190.0,SVK,26.0232717317,37.0,1100.0,105807,,,Pablo Carreno Busta,R,,ESP,24.0219028063,56.0,825.0,7-6(3) 6-7(8) 6-1,3,R32,,3.0,2.0,106.0,63.0,51.0,24.0,15.0,5.0,6.0,9.0,4.0,130.0,91.0,60.0,20.0,16.0,9.0,13.0
2015-439,Umag,Clay,28,A,20150720,7,104926,5.0,,Fabio Fognini,R,178.0,ITA,28.156057494900000,32.0,1160.0,106210,,,Jiri Vesely,L,,CZE,22.0260095825,44.0,945.0,6-4 6-4,3,R32,,1.0,4.0,65.0,41.0,25.0,14.0,10.0,4.0,6.0,2.0,1.0,68.0,41.0,28.0,9.0,10.0,7.0,11.0
2015-439,Umag,Clay,28,A,20150720,8,106000,,,Damir Dzumhur,R,172.0,BIH,23.164955509900000,100.0,524.0,104586,,,Lukas Rosol,R,196.0,CZE,29.9876796715,54.0,857.0,6-3 6-0,3,R32,,0.0,0.0,37.0,21.0,15.0,13.0,7.0,0.0,0.0,1.0,4.0,49.0,24.0,14.0,9.0,8.0,2.0,7.0
2015-439,Umag,Clay,28,A,20150720,9,105311,,,Joao Sousa,R,,POR,26.3052703628,51.0,881.0,105888,,WC,Toni Androic,U,,CRO,23.5592060233,363.0,119.0,6-2 6-1,3,R32,,3.0,3.0,52.0,33.0,25.0,9.0,7.0,8.0,9.0,1.0,3.0,45.0,22.0,9.0,8.0,8.0,2.0,8.0
2015-439,Umag,Clay,28,A,20150720,10,106432,7.0,,Borna Coric,R,,CRO,18.6776180698,36.0,1109.0,104719,,,Marcel Granollers,R,190.0,ESP,29.2703627652,71.0,715.0,6-3 6-3,3,R32,,1.0,3.0,58.0,30.0,22.0,15.0,9.0,4.0,5.0,0.0,2.0,59.0,35.0,24.0,8.0,9.0,7.0,11.0
