tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2015-329,Tokyo,Hard,32,A,20151005,1,104527,1.0,,Stanislas Wawrinka,R,183.0,SUI,30.521560574900000,4.0,6005.0,103285,,PR,Radek Stepanek,R,185.0,CZE,36.8542094456,255.0,187.0,7-5 6-3,3,R32,,11.0,2.0,57.0,37.0,30.0,12.0,11.0,0.0,1.0,2.0,2.0,71.0,46.0,33.0,10.0,10.0,2.0,5.0
2015-329,Tokyo,Hard,32,A,20151005,2,105147,,WC,Tatsuma Ito,R,180.0,JPN,27.3812457221,127.0,444.0,106415,,WC,Yoshihito Nishioka,L,,JPN,20.0219028063,148.0,377.0,3-6 6-0 7-5,3,R32,,5.0,3.0,93.0,44.0,27.0,25.0,14.0,9.0,14.0,1.0,4.0,96.0,52.0,25.0,23.0,13.0,12.0,19.0
2015-329,Tokyo,Hard,32,A,20151005,3,105572,,Q,Austin Krajicek,L,,USA,25.303216974700000,124.0,450.0,105051,,Q,Matthew Ebden,R,188.0,AUS,27.8576317591,131.0,430.0,5-7 7-6(4) 7-6(5),3,R32,,10.0,3.0,128.0,80.0,65.0,22.0,18.0,4.0,7.0,15.0,7.0,128.0,74.0,60.0,27.0,18.0,9.0,11.0
2015-329,Tokyo,Hard,32,A,20151005,4,105311,,,Joao Sousa,R,,POR,26.5160848734,45.0,951.0,103852,7.0,,Feliciano Lopez,L,188.0,ESP,34.0396988364,15.0,2040.0,6-4 4-6 6-1,3,R32,,7.0,1.0,83.0,52.0,38.0,17.0,14.0,4.0,6.0,9.0,5.0,85.0,42.0,27.0,21.0,13.0,4.0,8.0
2015-329,Tokyo,Hard,32,A,20151005,5,104468,3.0,,Gilles Simon,R,183.0,FRA,30.7707049966,10.0,2530.0,104022,,Q,Mikhail Youzhny,R,183.0,RUS,33.2785763176,92.0,581.0,6-4 6-4,3,R32,,1.0,1.0,67.0,37.0,26.0,17.0,10.0,4.0,6.0,0.0,5.0,61.0,33.0,24.0,10.0,10.0,1.0,5.0
2015-329,Tokyo,Hard,32,A,20151005,6,106210,,,Jiri Vesely,L,,CZE,22.2368240931,40.0,1042.0,106034,,WC,Yasutaka Uchiyama,R,,JPN,23.164955509900000,229.0,216.0,6-4 6-4,3,R32,,5.0,3.0,66.0,42.0,31.0,12.0,10.0,7.0,8.0,10.0,0.0,50.0,32.0,24.0,9.0,10.0,0.0,3.0
2015-329,Tokyo,Hard,32,A,20151005,7,104871,,,Jeremy Chardy,R,188.0,FRA,28.643394935,27.0,1365.0,105032,,,Samuel Groth,R,,AUS,27.961670089000000,53.0,843.0,6-3 2-0 RET,3,R32,,2.0,1.0,23.0,16.0,15.0,5.0,5.0,0.0,0.0,8.0,5.0,43.0,22.0,15.0,7.0,6.0,5.0,8.0
2015-329,Tokyo,Hard,32,A,20151005,8,104180,,,Gilles Muller,L,193.0,LUX,32.4079397673,43.0,1005.0,104731,5.0,,Kevin Anderson,R,203.0,RSA,29.3826146475,12.0,2430.0,6-2 6-3,3,R32,,7.0,3.0,54.0,28.0,22.0,17.0,9.0,4.0,4.0,4.0,5.0,46.0,19.0,15.0,9.0,8.0,2.0,5.0
2015-329,Tokyo,Hard,32,A,20151005,9,105332,,,Benoit Paire,R,196.0,FRA,26.409308692700000,32.0,1187.0,105777,8.0,,Grigor Dimitrov,R,188.0,BUL,24.388774811800000,21.0,1555.0,6-4 3-6 6-1,3,R32,,11.0,4.0,92.0,46.0,39.0,21.0,13.0,12.0,13.0,3.0,5.0,73.0,49.0,37.0,10.0,13.0,1.0,4.0
2015-329,Tokyo,Hard,32,A,20151005,10,104571,,,Marcos Baghdatis,R,183.0,CYP,30.2997946612,49.0,907.0,104269,,,Fernando Verdasco,L,188.0,ESP,31.8877481177,41.0,1020.0,7-5 6-1,3,R32,,6.0,1.0,69.0,41.0,30.0,15.0,10.0,4.0,5.0,4.0,0.0,46.0,27.0,15.0,10.0,9.0,1.0,5.0
2015-329,Tokyo,Hard,32,A,20151005,11,106401,,,Nick Kyrgios,R,,AUS,20.4407939767,34.0,1125.0,105077,,,Albert Ramos,L,188.0,ESP,27.7152635181,71.0,703.0,6-7(3) 6-3 6-3,3,R32,,12.0,3.0,88.0,50.0,40.0,22.0,15.0,1.0,2.0,7.0,3.0,105.0,65.0,43.0,20.0,15.0,11.0,15.0
2015-329,Tokyo,Hard,32,A,20151005,12,105138,,,Roberto Bautista Agut,R,,ESP,27.4743326489,22.0,1510.0,104755,4.0,,Richard Gasquet,R,185.0,FRA,29.297741273100000,11.0,2445.0,6-4 6-1,3,R32,,4.0,3.0,44.0,23.0,17.0,10.0,8.0,3.0,5.0,3.0,1.0,63.0,33.0,19.0,11.0,9.0,7.0,13.0
2015-329,Tokyo,Hard,32,A,20151005,13,105227,6.0,,Marin Cilic,R,198.0,CRO,27.017111567400000,14.0,2270.0,105385,,Q,Donald Young,L,183.0,USA,26.2012320329,51.0,861.0,7-5 5-7 6-4,3,R32,,13.0,3.0,115.0,56.0,47.0,24.0,17.0,6.0,9.0,5.0,7.0,129.0,63.0,44.0,31.0,17.0,10.0,14.0
