tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2011-D057,Davis Cup G1 PO: NZL vs PHI,Hard,4,D,20110708,3,105428,,,Marcus Daniell,R,190.0,NZL,21.648186173900000,998.0,7.0,106150,,,Jeson Patrombon,R,,PHI,18.2696783025,1381.0,2.0,4-6 6-3 6-3,3,RR,,,,,,,,,,,,,,,,,,,
2011-D057,Davis Cup G1 PO: NZL vs PHI,Hard,4,D,20110708,4,104677,,,Artem Sitak,U,,NZL,25.3990417522,380.0,106.0,102821,,,Cecil Mamiit,R,173.0,PHI,35.0171115674,,,6-4 7-5,3,RR,,,,,,,,,,,,,,,,,,,
2011-D058,Davis Cup G1 PO: PHI vs TPE,Clay,4,D,20110916,1,104251,,,Ti Chen,R,183.0,TPE,27.9425051335,293.0,160.0,102821,,,Cecil Mamiit,R,173.0,PHI,35.2087611225,,,6-7(2) 6-2 7-6(6) 6-3,5,RR,,,,,,,,,,,,,,,,,,,
2011-D058,Davis Cup G1 PO: PHI vs TPE,Clay,4,D,20110916,2,104600,,,Treat Conrad Huey,L,178.0,PHI,26.0396988364,901.0,10.0,104499,,,Jimmy Wang,R,178.0,TPE,26.5900068446,389.0,103.0,6-4 6-4 6-3,5,RR,,,,,,,,,,,,,,,,,,,
2011-D058,Davis Cup G1 PO: PHI vs TPE,Clay,4,D,20110916,3,104251,,,Ti Chen,R,183.0,TPE,27.9425051335,293.0,160.0,104600,,,Treat Conrad Huey,L,178.0,PHI,26.0396988364,901.0,10.0,6-3 7-6(2) 6-2,5,RR,,,,,,,,,,,,,,,,,,,
2011-D058,Davis Cup G1 PO: PHI vs TPE,Clay,4,D,20110916,4,106150,,,Jeson Patrombon,R,,PHI,18.4613278576,1052.0,6.0,104499,,,Jimmy Wang,R,178.0,TPE,26.5900068446,389.0,103.0,1-6 6-4 6-3,3,RR,,,,,,,,,,,,,,,,,,,
2011-D059,Davis Cup G1 PO: FIN vs POL,Hard,4,D,20110916,1,105573,,,Henri Kontinen,R,,FIN,21.2320328542,281.0,167.0,105668,,,Jerzy Janowicz,R,203.0,POL,20.829568788500000,176.0,299.0,6-4 6-3 6-7(10) 6-3,5,RR,,,,,,,,,,,,,,,,,,,
2011-D059,Davis Cup G1 PO: FIN vs POL,Hard,4,D,20110916,2,103813,,,Jarkko Nieminen,L,185.0,FIN,30.1382614648,45.0,876.0,105066,,,Grzegorz Panfil,L,183.0,POL,23.696098562600000,457.0,78.0,6-4 6-4 6-4,5,RR,,,,,,,,,,,,,,,,,,,
2011-D059,Davis Cup G1 PO: FIN vs POL,Hard,4,D,20110916,3,105668,,,Jerzy Janowicz,R,203.0,POL,20.829568788500000,176.0,299.0,105349,,,Harri Heliovaara,R,,FIN,22.2724161533,252.0,192.0,6-3 6-4,3,RR,,,,,,,,,,,,,,,,,,,
2011-D059,Davis Cup G1 PO: FIN vs POL,Hard,4,D,20110916,4,105066,,,Grzegorz Panfil,L,183.0,POL,23.696098562600000,457.0,78.0,106100,,,Micke Kontinen,U,,FIN,18.7323750856,710.0,23.0,7-6(1) 6-4,3,RR,,,,,,,,,,,,,,,,,,,
